Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Vol,Ver,Vol%,GesEntf,ProgEntf,Vol,Ver,Vol%,Vol,Ver,Vol%,Vol,Ver,Vol%,Vor,xA,A-xA,WP,1/3,PPA,FlkSr,Fortschr.,Spiele
84,Timothy Chandler\Timothy-Chandler,us USA,DF,Eint Frankfurt,30,1990,4.8,31.9,44.6,715,558.5,242.9,15.2,17.7,859,13.1,19.0,692,3.13,6.25,500,0.00,0.06,-0.06,0.83,2.92,1.04,0.21,5.42,Spiele
85,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,MFFW,Freiburg,26,1994,2.4,22.5,29.6,761,362.9,85.8,13.3,15.0,889,7.08,9.17,773,1.67,3.75,444,0.00,0.00,0.00,0.42,1.25,0.00,0.00,2.92,Spiele
86,Tahith Chong\Tahith-Chong,nl NED,FWMF,Werder Bremen,20,1999,4.3,20.0,31.6,632,321.6,109.1,11.6,16.0,725,5.35,8.37,639,2.09,3.26,643,0.23,0.12,0.12,1.16,1.63,0.70,0.47,1.63,Spiele
87,Darko Churlinov\Darko-Churlinov,mk MKD,DFFW,Stuttgart,20,2000,2.4,33.8,41.3,818,516.3,135.4,18.8,20.4,918,12.1,14.6,829,2.50,5.00,500,0.42,0.17,0.25,0.83,0.42,2.50,0.42,4.17,Spiele
88,Tim Civeja\Tim-Civeja,de GER,MFDF,Augsburg,18,2002,0.4,40.0,60.0,667,765.0,220.0,20.0,30.0,667,7.50,15.0,500,12.5,12.5,1000,0.00,0.00,0.00,0.00,2.50,0.00,0.00,5.00,Spiele
89,Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,24,1996,19.5,34.9,43.9,794,618.9,113.9,17.3,20.1,862,13.4,16.5,811,3.85,5.49,701,0.51,0.34,0.17,2.21,1.03,2.00,0.82,3.23,Spiele
90,Jhon Córdoba\Jhon-Cordoba,co COL,FW,Hertha BSC,27,1993,17.1,14.3,18.7,763,233.9,29.1,7.19,8.71,826,4.85,6.43,755,1.52,1.81,839,0.06,0.11,-0.05,1.35,0.64,0.29,0.18,0.82,Spiele
91,Sergio Córdova\Sergio-Cordova,ve VEN,FWMF,Arminia,22,1997,12.1,14.9,22.1,674,216.4,53.4,8.68,10.7,808,4.30,6.61,650,1.07,2.15,500,0.08,0.10,-0.02,1.24,1.49,0.17,0.00,1.57,Spiele
92,Danny da Costa\Danny-da-Costa,de GER,DF,Mainz 05,27,1993,13.4,23.2,38.2,607,509.9,273.9,7.16,9.55,750,11.6,18.1,645,4.33,9.18,472,0.07,0.13,-0.05,1.04,2.16,1.57,0.52,4.25,Spiele
93,Danny da Costa\Danny-da-Costa,de GER,DF,Eint Frankfurt,27,1993,1.2,28.3,40.8,694,461.7,245.0,13.3,15.8,842,12.5,17.5,714,2.50,5.00,500,0.00,0.00,0.00,0.00,1.67,2.50,0.83,5.00,Spiele
94,Douglas Costa\Douglas-Costa,br BRA,FWMF,Bayern Munich,29,1990,3.6,35.8,51.9,690,695.8,224.4,15.3,19.2,797,12.2,15.8,772,7.22,11.7,619,0.28,0.19,0.08,1.67,3.89,1.94,0.28,5.56,Spiele
95,Tanguy Coulibaly\Tanguy-Coulibaly,fr FRA,DFFW,Stuttgart,19,2001,16.7,20.8,28.1,740,321.1,81.7,11.6,14.3,808,7.07,8.86,797,1.32,2.69,489,0.06,0.11,-0.05,0.84,0.60,0.78,0.42,2.04,Spiele
96,Mickaël Cuisance\Mickael-Cuisance,fr FRA,FW,Bayern Munich,20,1999,0.2,45.0,50.0,900,860.0,15.0,15.0,15.0,1000,25.0,25.0,1000,5.00,10.0,500,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,Spiele
97,Matheus Cunha\Matheus-Cunha,br BRA,FWMF,Hertha BSC,21,1999,23.9,21.5,32.6,659,443.3,150.2,9.12,11.8,770,7.03,9.75,721,4.60,8.62,534,0.17,0.21,-0.04,2.01,2.72,1.05,0.04,3.10,Spiele
98,Rafael Czichos\Rafael-Czichos,de GER,DF,Köln,30,1990,25.1,44.7,52.5,851,1069.1,423.1,9.12,10.6,858,24.5,26.2,936,10.6,14.9,716,0.00,0.00,-0.00,0.12,3.43,0.28,0.08,3.86,Spiele
99,Moanes Dabour\Moanes-Dabour,il ISR,FW,Hoffenheim,28,1992,11.1,22.8,31.1,733,347.3,110.7,13.5,17.0,794,6.67,8.47,787,1.62,3.06,529,0.00,0.09,-0.09,1.08,2.07,1.26,0.27,3.15,Spiele
100,Finn Dahmen\Finn-Dahmen,de GER,TW,Mainz 05,22,1998,3.0,22.3,28.7,779,509.7,184.7,6.33,6.33,1000,10.7,11.0,970,4.67,10.7,438,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
101,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,24,1996,14.0,56.1,65.2,861,1155.1,232.6,18.4,20.4,902,26.6,29.1,914,9.93,13.1,755,0.07,0.09,-0.01,0.86,4.71,1.07,0.14,4.57,Spiele
102,Leon Dajaku\Leon-Dajaku,de GER,FW,Union Berlin,19,2001,0.4,27.5,32.5,846,367.5,105.0,17.5,17.5,1000,10.0,10.0,1000,0.00,2.50,00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,Spiele
103,Tiago Dantas\Tiago-Dantas,pt POR,MF,Bayern Munich,19,2000,0.8,35.0,43.8,800,710.0,163.8,13.8,15.0,917,15.0,18.8,800,6.25,7.50,833,0.00,0.00,0.00,1.25,1.25,3.75,0.00,6.25,Spiele
104,Márton Dárdai\Marton-Dardai,de GER,DFMF,Hertha BSC,18,2002,9.1,44.6,55.6,802,1188.4,412.9,6.26,7.14,877,25.6,27.1,943,12.6,20.8,608,0.11,0.02,0.09,0.44,4.18,0.44,0.11,4.84,Spiele
105,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,29,1990,21.1,34.1,47.1,725,738.7,180.6,12.0,14.9,809,13.5,17.0,796,7.91,12.4,637,0.28,0.27,0.01,1.85,2.70,1.33,0.24,3.84,Spiele
106,Alphonso Davies\Alphonso-Davies,ca CAN,DF,Bayern Munich,19,2000,19.6,68.3,76.7,890,1116.3,331.7,33.3,36.0,925,30.5,33.4,913,3.62,4.85,747,0.10,0.04,0.06,0.66,4.85,0.82,0.26,5.46,Spiele
107,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Dortmund,28,1991,14.3,48.7,58.2,838,921.7,207.1,20.3,22.8,890,20.6,23.1,894,6.64,10.2,651,0.07,0.01,0.06,0.28,3.71,0.42,0.07,3.22,Spiele
108,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Leverkusen,27,1993,19.4,49.2,62.4,788,950.5,296.2,21.6,24.2,893,18.5,22.0,840,8.25,14.3,576,0.15,0.13,0.02,1.86,5.88,1.29,0.41,6.29,Spiele
109,Ermedin Demirovi?\Ermedin-Demirovic,ba BIH,FW,Freiburg,22,1998,16.6,9.28,16.0,581,153.6,50.5,4.76,6.57,725,3.31,6.20,534,0.90,1.75,517,0.36,0.19,0.17,0.78,1.02,0.96,0.18,2.05,Spiele
110,Emmanuel Dennis\Emmanuel-Dennis,ng NGA,FW,Köln,22,1997,5.3,18.5,26.2,705,263.4,38.5,11.3,14.3,789,4.72,7.36,641,1.32,1.32,1000,0.19,0.23,-0.04,0.75,0.75,0.57,0.38,0.57,Spiele
111,Mike van der Hoorn\Mike-van-der-Hoorn,nl NED,DF,Arminia,27,1992,15.1,47.7,54.8,871,1154.6,316.2,9.40,10.4,904,27.0,28.9,936,10.9,14.9,733,0.00,0.01,-0.01,0.20,1.66,0.20,0.00,1.99,Spiele
112,Moussa Diaby\Moussa-Diaby,fr FRA,FWMF,Leverkusen,21,1999,26.5,27.2,35.8,761,472.6,90.2,13.5,15.7,858,10.6,12.7,837,2.68,5.43,493,0.42,0.26,0.16,1.66,0.98,1.58,0.79,2.08,Spiele
113,Daniel Didavi\Daniel-Didavi,de GER,FWMF,Stuttgart,30,1990,10.8,29.4,39.7,741,532.2,180.6,12.6,14.9,845,12.5,15.7,794,3.43,6.67,514,0.28,0.28,0.00,2.31,3.80,2.04,0.46,5.37,Spiele
114,Javairô Dilrosun\Javairo-Dilrosun,nl NED,FWMF,Hertha BSC,22,1998,5.9,22.7,30.3,749,419.5,94.1,11.9,14.6,814,6.95,8.81,788,3.39,5.59,606,0.17,0.08,0.08,1.02,1.86,1.53,0.17,2.88,Spiele
115,Eren Dinkçi\Eren-Dinkci,de GER,FWMF,Werder Bremen,18,2001,1.2,16.7,22.5,741,185.8,106.7,13.3,16.7,800,1.67,3.33,500,0.83,0.83,1000,0.00,0.08,-0.08,2.50,1.67,1.67,0.83,1.67,Spiele
116,Ritsu Doan\Ritsu-Doan,jp JPN,MFFW,Arminia,22,1998,30.8,17.7,28.0,634,313.0,123.1,8.77,10.7,818,5.88,8.44,696,2.37,6.79,349,0.06,0.11,-0.04,1.49,1.40,1.07,0.32,2.60,Spiele
117,Ji Dong-won\Ji-Dong-won,kr KOR,FWDF,Mainz 05,29,1991,0.7,21.4,38.6,556,245.7,111.4,15.7,21.4,733,4.29,11.4,375,0.00,1.43,00,0.00,0.00,0.00,1.43,4.29,0.00,0.00,2.86,Spiele
118,Bas Dost\Bas-Dost,nl NED,FW,Eint Frankfurt,31,1989,9.1,22.3,34.3,651,323.2,77.0,13.1,18.5,708,6.92,10.3,670,1.43,3.08,464,0.22,0.25,-0.03,1.21,2.64,0.66,0.00,3.08,Spiele
119,Aleksandar Dragovi?\Aleksandar-Dragovic,at AUT,DF,Leverkusen,29,1991,12.6,74.8,84.0,890,1629.3,504.6,22.9,24.8,920,36.3,39.4,921,15.0,18.5,811,0.00,0.03,-0.03,0.48,6.51,0.32,0.00,5.71,Spiele
120,Dominick Drexler\Dominick-Drexler,de GER,MFFW,Köln,30,1990,13.7,30.0,39.1,767,480.1,116.0,16.0,18.4,869,10.3,12.8,806,2.63,5.18,507,0.07,0.12,-0.04,1.02,1.46,1.17,0.29,2.92,Spiele
121,Ondrej Duda\Ondrej-Duda,sk SVK,FWMF,Köln,25,1994,28.2,31.8,44.3,718,614.5,163.7,13.9,16.5,843,10.9,14.7,742,5.89,10.4,565,0.18,0.15,0.03,1.56,3.37,0.82,0.32,3.62,Spiele
122,Erik Durm\Erik-Durm,de GER,DF,Eint Frankfurt,28,1992,16.4,31.5,44.9,702,590.0,240.8,13.2,15.3,861,14.3,19.3,744,3.54,8.05,439,0.12,0.13,-0.01,0.73,1.59,0.91,0.49,2.93,Spiele
123,Johannes Eggestein\Johannes-Eggestein,de GER,FWMF,Werder Bremen,22,1998,0.4,27.5,42.5,647,387.5,65.0,17.5,20.0,875,10.0,17.5,571,0.00,5.00,00,0.00,0.00,0.00,2.50,2.50,0.00,0.00,5.00,Spiele
124,Maximilian Eggestein\Maximilian-Eggestein,de GER,MF,Werder Bremen,23,1996,32.7,32.9,41.8,786,595.7,193.8,14.5,18.1,804,14.2,16.8,845,3.73,5.29,705,0.15,0.10,0.05,0.80,3.73,0.83,0.09,4.89,Spiele
125,Lilian Egloff\Lilian-Egloff,de GER,MF,Stuttgart,17,2002,0.2,20.0,20.0,1000,290.0,15.0,5.00,5.00,1000,10.0,10.0,1000,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
126,Kingsley Ehizibue\Kingsley-Ehizibue,nl NED,DF,Köln,25,1995,12.6,34.4,46.3,741,667.0,258.8,12.1,15.1,805,17.0,22.1,767,4.60,7.22,637,0.08,0.06,0.02,0.56,1.75,0.87,0.63,2.86,Spiele
127,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'Gladbach,23,1996,28.2,61.6,66.4,928,1267.9,318.7,19.3,20.5,943,32.3,33.5,963,9.61,11.3,850,0.04,0.01,0.03,0.11,1.28,0.11,0.04,2.23,Spiele
128,Breel Embolo\Breel-Embolo,ch SUI,FWMF,M'Gladbach,23,1997,16.0,20.9,28.7,730,282.9,43.6,13.6,16.5,822,5.38,7.63,705,1.06,1.69,630,0.13,0.06,0.06,0.88,0.69,0.88,0.06,1.44,Spiele
129,Keita Endo\Keita-Endo,jp JPN,MFFW,Union Berlin,22,1997,5.1,14.9,21.2,704,255.3,78.4,7.06,10.0,706,4.90,7.06,694,1.96,2.55,769,0.00,0.22,-0.22,1.18,1.37,0.59,0.59,1.37,Spiele
130,Wataru Endo\Wataru-Endo,jp JPN,MF,Stuttgart,27,1993,32.8,46.3,55.1,840,845.5,262.9,18.8,21.2,888,21.7,24.6,883,4.79,7.13,671,0.09,0.06,0.03,0.76,4.30,0.70,0.06,5.30,Spiele
131,Patrick Erras\Patrick-Erras,de GER,MFFW,Werder Bremen,25,1995,0.3,66.7,110.0,606,1243.3,256.7,36.7,53.3,688,20.0,30.0,667,10.0,20.0,500,0.00,0.00,0.00,3.33,3.33,3.33,0.00,3.33,Spiele
132,Ralf Fährmann\Ralf-Fahrmann,de GER,TW,Schalke 04,31,1988,20.8,26.0,39.7,656,761.8,442.6,4.86,4.90,990,11.4,11.7,975,9.57,22.9,418,0.00,0.00,-0.00,0.10,0.38,0.00,0.00,0.00,Spiele
133,Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,de GER,DF,Augsburg,22,1997,29.0,41.9,49.8,842,880.1,281.9,13.1,14.5,903,21.5,23.8,904,7.00,10.4,672,0.00,0.01,-0.01,0.10,2.31,0.14,0.03,2.93,Spiele
134,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MFDF,Mainz 05,24,1996,9.3,28.1,38.4,731,546.5,193.0,11.4,13.8,828,12.5,15.2,823,3.66,7.85,466,0.11,0.10,0.01,1.08,1.40,0.75,0.32,2.69,Spiele
135,Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,31,1989,6.0,18.5,29.3,631,337.0,73.0,8.00,11.8,676,6.83,11.0,621,2.83,3.67,773,0.17,0.23,-0.07,1.67,2.17,0.83,0.33,2.67,Spiele
136,Mark Flekken\Mark-Flekken,nl NED,TW,Freiburg,27,1993,3.0,30.7,41.7,736,1139.7,794.3,2.67,2.67,1000,12.7,12.7,1000,15.3,26.3,582,0.00,0.00,0.00,0.00,1.33,0.00,0.00,0.00,Spiele
137,Florian Flick\Florian-Flick,de GER,MF,Schalke 04,20,2000,4.0,22.8,27.5,827,474.3,125.0,9.50,10.3,927,8.75,10.8,814,4.50,5.75,783,0.00,0.00,0.00,0.00,2.50,0.75,0.00,2.50,Spiele
138,Emil Forsberg\Emil-Forsberg,se SWE,FWMF,RB Leipzig,28,1991,17.1,27.3,35.3,774,424.7,101.2,15.6,18.3,853,8.19,9.82,833,2.46,4.62,532,0.23,0.31,-0.08,1.93,2.16,1.46,0.06,2.92,Spiele
139,Philipp Förster\Philipp-Forster,de GER,FWMF,Stuttgart,25,1995,16.8,33.6,42.4,791,540.7,168.9,17.5,20.8,842,12.3,14.8,835,2.74,4.23,648,0.06,0.15,-0.10,1.55,2.80,1.85,0.12,5.48,Spiele
140,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Leverkusen,22,1998,4.5,67.6,78.2,864,1261.6,447.3,28.9,30.0,963,30.4,33.8,901,7.78,12.9,603,0.00,0.02,-0.02,0.67,6.67,1.33,0.44,6.44,Spiele
141,Raphael Framberger\Raphael-Framberger,de GER,DF,Augsburg,24,1995,17.1,28.5,43.2,661,487.2,256.4,14.3,17.8,800,11.6,16.4,707,2.28,6.78,336,0.06,0.12,-0.06,0.64,1.58,0.76,0.47,3.10,Spiele
142,Marco Friedl\Marco-Friedl,at AUT,DF,Werder Bremen,22,1998,30.9,44.0,54.2,811,1040.6,361.0,12.3,13.5,916,20.9,23.2,901,10.4,16.4,634,0.00,0.02,-0.02,0.29,4.08,0.29,0.06,3.43,Spiele
143,Marvin Friedrich\Marvin-Friedrich,de GER,DF,Union Berlin,24,1995,34.0,43.0,53.1,809,972.2,352.6,12.1,13.5,891,20.9,23.1,906,9.47,15.1,628,0.06,0.02,0.04,0.35,3.47,0.35,0.09,3.62,Spiele
144,Jeremie Frimpong\Jeremie-Frimpong,nl NED,DFFW,Leverkusen,19,2000,4.8,48.3,58.1,832,735.0,210.6,28.8,30.8,932,16.3,18.1,897,2.50,5.63,444,0.00,0.13,-0.13,0.83,2.29,1.67,0.83,3.33,Spiele
145,Niclas Füllkrug\Niclas-Fullkrug,de GER,FWMF,Werder Bremen,27,1993,9.7,15.6,26.7,583,251.4,55.9,8.97,13.3,674,4.54,8.66,524,1.44,2.68,538,0.00,0.02,-0.02,0.62,1.75,0.10,0.00,1.55,Spiele
146,Mijat Ga?inovi?\Mijat-Gacinovic,rs SRB,DFMF,Hoffenheim,25,1995,9.1,37.1,48.6,765,589.8,221.1,18.8,22.2,847,15.1,18.9,797,2.53,4.95,511,0.22,0.21,0.01,1.10,2.42,0.77,0.11,4.18,Spiele
147,Christian Gebauer\Christian-Gebauer,at AUT,MFFW,Arminia,26,1993,7.6,16.6,25.3,656,261.3,107.4,8.95,11.2,800,5.00,7.63,655,1.71,3.95,433,0.13,0.08,0.05,1.18,0.92,0.66,0.13,2.76,Spiele
148,Theodor Gebre Selassie\Theodor-Gebre-Selassie,cz CZE,DF,Werder Bremen,33,1986,33.7,34.9,45.8,763,618.9,289.0,15.8,18.6,853,15.3,19.8,775,3.47,5.99,579,0.03,0.04,-0.01,0.59,1.99,0.71,0.30,3.23,Spiele
149,Emrehan Gedikli\Emrehan-Gedikli,de GER,FW,Leverkusen,17,2003,0.3,13.3,16.7,800,163.3,30.0,10.0,10.0,1000,3.33,3.33,1000,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
150,Dennis Geiger\Dennis-Geiger,de GER,MF,Hoffenheim,22,1998,7.3,40.0,48.5,825,815.6,248.2,15.1,16.4,917,17.0,19.2,886,7.12,11.1,642,0.14,0.23,-0.10,1.92,4.38,0.68,0.00,5.48,Spiele
151,Christian Gentner\Christian-Gentner,de GER,MF,Union Berlin,34,1985,11.5,32.4,41.1,789,565.9,158.3,15.7,17.8,883,11.9,14.8,806,3.91,6.35,616,0.00,0.09,-0.09,0.61,3.30,0.78,0.17,4.09,Spiele
152,Yannick Gerhardt\Yannick-Gerhardt,de GER,MFFW,Wolfsburg,26,1994,21.5,26.4,35.5,742,458.2,131.0,11.8,15.1,782,10.5,13.3,790,2.93,4.70,624,0.19,0.16,0.03,1.12,2.65,0.70,0.23,2.74,Spiele
153,Hamadi Al Ghaddioui\Hamadi-Al-Ghaddioui,ma MAR,FWMF,Stuttgart,29,1990,0.5,20.0,30.0,667,302.0,120.0,12.0,16.0,750,6.00,12.0,500,2.00,2.00,1000,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,Spiele
154,Niko Gießelmann\Niko-Giesselmann,de GER,DF,Union Berlin,28,1991,4.8,33.1,51.7,641,631.3,274.8,15.0,18.5,809,12.9,19.8,653,5.21,11.5,455,0.00,0.06,-0.06,0.63,3.75,0.83,0.00,5.21,Spiele
155,Rafa? Gikiewicz\Rafal-Gikiewicz,pl POL,TW,Augsburg,32,1987,34.0,28.6,41.1,696,884.3,513.6,5.03,5.12,983,11.7,11.9,983,11.8,24.0,492,0.00,0.00,0.00,0.00,0.50,0.03,0.00,0.03,Spiele
156,Daniel Ginczek\Daniel-Ginczek,de GER,FWMF,Wolfsburg,29,1991,2.4,18.3,31.7,579,304.6,60.0,9.58,15.8,605,6.67,10.8,615,1.67,2.92,571,0.00,0.13,-0.13,1.67,1.67,0.83,0.00,2.92,Spiele
157,Matthias Ginter\Matthias-Ginter,de GER,DF,M'Gladbach,26,1994,34.0,59.1,68.9,858,1241.9,445.9,17.9,19.2,928,31.9,34.6,923,8.76,14.0,627,0.03,0.06,-0.03,0.32,4.91,0.56,0.12,5.38,Spiele
158,Robert Glatzel\Robert-Glatzel,de GER,FW,Mainz 05,26,1994,4.0,25.0,35.8,699,304.0,64.8,14.8,19.0,776,7.25,10.0,725,0.00,1.00,00,0.25,0.15,0.10,0.50,1.75,1.25,0.25,1.75,Spiele
159,Serge Gnabry\Serge-Gnabry,de GER,FWMF,Bayern Munich,25,1995,18.3,36.6,46.9,781,602.3,135.1,18.6,22.1,844,13.8,16.6,835,2.95,5.14,574,0.11,0.25,-0.14,1.80,2.24,2.30,0.49,3.66,Spiele
160,Akaki Gogia\Akaki-Gogia,de GER,FWMF,Union Berlin,28,1992,1.6,28.8,35.6,807,510.0,163.8,14.4,16.3,885,10.6,13.1,810,3.13,4.38,714,0.63,0.25,0.37,1.25,1.88,0.63,0.00,4.38,Spiele
161,Nicolás González\Nicolas-Gonzalez,ar ARG,FWDF,Stuttgart,22,1998,10.4,14.2,23.2,614,251.3,76.1,6.06,8.85,685,6.25,9.23,677,1.54,2.88,533,0.19,0.19,0.00,1.06,1.92,1.06,0.10,2.60,Spiele
162,Leon Goretzka\Leon-Goretzka,de GER,MF,Bayern Munich,25,1995,18.9,49.3,56.0,880,962.4,211.8,19.5,21.5,909,20.6,22.6,909,7.99,9.68,825,0.26,0.14,0.13,1.06,5.24,1.43,0.05,5.66,Spiele
163,Jeffrey Gouweleeuw\Jeffrey-Gouweleeuw,nl NED,DF,Augsburg,29,1991,31.5,39.8,49.5,804,926.4,346.0,9.84,11.3,868,20.8,22.6,920,8.76,14.7,595,0.00,0.01,-0.01,0.25,3.84,0.38,0.03,3.68,Spiele
164,Demarai Gray\Demarai-Gray,eng ENG,FW,Leverkusen,24,1996,4.9,24.5,36.5,670,446.5,94.3,12.4,15.1,824,8.78,12.2,717,2.86,7.55,378,0.41,0.16,0.24,1.63,1.43,1.22,0.41,3.06,Spiele
165,Michael Gregoritsch\Michael-Gregoritsch,at AUT,FWMF,Augsburg,26,1994,9.3,18.4,28.5,645,309.5,78.8,9.25,11.4,811,5.81,9.25,628,2.26,5.48,412,0.22,0.14,0.08,0.65,2.37,0.65,0.11,2.04,Spiele
166,Sebastian Griesbeck\Sebastian-Griesbeck,de GER,MF,Union Berlin,29,1990,9.9,17.4,23.4,741,297.2,76.7,8.18,9.60,853,6.97,9.19,758,1.52,3.13,484,0.00,0.00,0.00,0.10,1.21,0.30,0.10,1.82,Spiele
